Date,Content,Video title,Video publish time,Duration,Stayed to watch (%)
2011-06-09,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-10,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-11,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-12,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-13,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-14,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-15,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-16,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-17,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-18,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-19,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-20,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-21,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-22,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-23,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-24,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-25,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-26,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-27,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-28,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-29,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-06-30,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-01,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-02,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-03,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-04,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-05,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-06,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-07,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-08,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-09,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-10,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-11,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-12,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-13,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-14,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-15,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-16,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-17,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-18,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-19,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-20,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-21,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-22,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-23,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-24,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-25,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-07-26,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
