Content,Video title,Video publish time,Duration,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Engaged views,Average view duration,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
3MjK5EStz5Y,Jiffy Walkthrough,,469,,,,,,,21,0:03:20,42.68,21,1.1677,0,,0,
3UuWcA-KfPM,Getting fired launched my startup,"Nov 21, 2023",254,,,,,,,663,0:02:02,48.42,663,22.6519,9,0.484,23949,1.85
3bGyi1oiq7E,Getting Rid of JavaScript Completely is (sometimes) a BAD idea,"May 31, 2024",691,,,,,,,4048,0:03:25,29.71,4048,230.8454,82,5.565,37539,5.87
3oa5ZpDzxjw,Why this new Livewire version changes everything,"Aug 15, 2025",771,,,,,,,8995,0:04:04,31.67,8995,610.0505,79,25.969,90344,6.94
42tTVMAmvx0,Don't Make Me Think,"Jun 28, 2024",460,,,,,,,1306,0:02:11,28.5,1306,47.555,14,2.979,23926,3.09
4FWHt1f74Fk,They killed Arc for this?,"Jul 9, 2025",957,,,,,,,1959,0:03:44,23.48,1959,122.2681,3,3.761,19191,5.86
4vmoJ2dWrYo,The New Way to Learn to Code,"Sep 2, 2025",1296,,,,,,,1174,0:03:59,18.46,1174,78.0292,2,2.728,16066,4.71
4yyZq5oqJts,Building a WorkOS Laravel Socialite Adapter from Scratch (Code with me),"Aug 1, 2024",1513,,,,,,,2105,0:04:08,16.45,2105,145.5434,16,3.264,29111,4
5JReNuHYvlg,Stop Shipping MVPs. No one likes them.,"Jul 26, 2024",850,,,,,,,1090,0:04:17,30.29,1090,77.9515,5,2.464,17957,3.33
5gkL1AFNEX0,YNAB - Josh Cirre - Humbly Confident Educator and Content Creator,,60,,,,,,,10,0:00:49,81.09,10,0.1372,0,,0,
6ZmypXuwcLU,Laravel Livewire vs. React/Svelte/Vue (Inertia),"Aug 17, 2024",764,,,,,,,17412,0:04:00,31.48,17412,1163.307,132,33.091,160349,6.53
7OPLPG-7Inw,Consistency without Complacency ft. John O'Nolan,,4314,,,,,,,163,0:04:33,6.33,163,12.3646,0,,5815,0.95
7QSrEcrullw,Keeping Users in the Loop | Background Job Status Updates with Laravel Livewire,"Sep 5, 2024",611,,,,,,,4019,0:03:25,33.58,4019,229.0249,38,6.261,43987,4.74
7QsiDjf-XP4,Leaving Your Fingerprint,,4387,,,,,,,116,0:02:59,4.1,116,5.7934,0,,2968,1.31
7piWmroHgUM,Is this the future of React? PHP Dev Tries TanStack Start,"Nov 19, 2024",1669,,,,,,,6408,0:05:04,18.23,6408,541.6438,44,15.978,74458,5.12
8b1EI-z8Dc4,Laravel Keeps Getting Better,"Aug 28, 2024",721,,,,,,,6236,0:03:26,28.62,6236,357.4102,46,9.593,60214,6.07
8oA37uC6tL4,How do we start this thing?,"May 31, 2025",4467,,,,,,,441,0:03:24,4.57,441,25.0109,0,0.431,8330,2.83
9JfQTgYH5Mc,Teaching a First-Time Laravel Artisan?,"Oct 3, 2024",7661,,,,,,,1737,0:09:06,7.14,1737,263.8262,8,3.304,19716,5.37
BCe3T8z8_SM,Why Your Laravel APP_KEY is a Secret,"Jul 16, 2025",1238,,,,,,,3486,0:04:20,21.05,3486,252.3777,18,6.951,45403,4.14
C1Qg1k2ZrRk,Zed is making me try Gemini CLI,"Aug 28, 2025",1067,,,,,,,4502,0:04:03,22.85,4502,304.8923,27,9.958,63350,5.08
CU6EYWJLEwk,Dreams Do Come True // STORY,"Oct 9, 2016",867,,,,,,,79,0:02:32,17.62,79,3.3519,0,,131,5.34
F2813o7AFsw,daisyUI meets Laravel Livewire,"Nov 29, 2023",1128,,,,,,,16057,0:03:54,20.81,16057,1047.2398,289,13.848,271044,3.79
F80Yiw6St-Q,When is this Good Enough | Riff & Refine,,4677,,,,,,,83,0:04:45,6.27,83,6.5872,0,,2570,1.44
Faccx54kum4,Laravel Dev tries Phoenix and LiveView for the First Time,"Jan 15, 2025",2152,,,,,,,5516,0:04:22,12.2,5516,402.364,27,12.211,44712,6.91
FqFnHL8ObRY,Real Time Apps with Laravel Made Easier,"May 19, 2025",1025,,,,,,,5876,0:03:10,18.54,5876,310.1632,47,11.429,57278,6.13
G8PxUMmEN7E,Using Mux with Laravel,"Nov 8, 2024",9681,,,,,,,2767,0:03:59,2.48,2767,184.4615,8,6.084,22798,7.39
GmsSBdC1bLU,Write better Laravel code with scopes,"Jun 15, 2024",242,,,,,,,1723,0:02:04,51.39,1723,59.5192,15,3.071,26675,3.76
HKkle1Ruibc,The Dollar Challenge but I take it one step further,"Mar 28, 2024",195,,,,,,,152,0:01:37,50.25,152,4.1372,1,0.341,2206,3.76
I9_Jv9MtvO4,Even MORE Livewire and Alpine Optimistic UI Tips,"Jun 7, 2024",2143,,,,,,,2963,0:06:44,18.9,2963,333.3257,27,7.534,45477,3.6
IEVufZPXzBo,Laravel 11 is Here (and I'm so excited),"Mar 12, 2024",1487,,,,,,,2428,0:04:42,19.03,2428,190.8035,38,4.253,42024,2.93
IsQBOnCZSdk,My Personal Livewire Starter Kit,"Oct 9, 2024",492,,,,,,,4437,0:03:00,36.76,4437,222.9356,13,8.671,46052,5.84
JFtyJvKoPEY,Extremely simple analytics for your Laravel apps,"Oct 16, 2024",631,,,,,,,4985,0:03:13,30.59,4985,267.3147,49,11.604,57036,4.5
KIQfB1vviQs,Can Claude Code fix itself?,"Jul 28, 2025",886,,,,,,,894,0:03:27,23.47,894,51.6433,1,1.814,16583,3.01
KaFkkSIXdEE,Cursor is falling behind,"Aug 11, 2025",627,,,,,,,7175,0:02:40,25.58,7175,319.6384,68,14.668,97644,5.61
Kj1SC8dVerw,Let's talk about Livewire Flux (New Official Livewire Component Library),"Aug 29, 2024",709,,,,,,,7737,0:03:45,31.74,7737,483.6888,37,21.968,57202,7.23
Ld9Rtb9_6hc,5 AlpineJS Plugins You Need To Know About (& bonus tool),"Aug 7, 2024",1178,,,,,,,9073,0:05:35,28.5,9073,846.266,87,23.46,100645,5.23
LdDGQ-B9aYA,You're missing out on using Soft Deletes in Laravel.,"Jul 16, 2024",872,,,,,,,1973,0:03:48,26.25,1973,125.4458,19,2.386,28798,3.88
LzEU_btmNjo,Monetizing Your Side Projects with Rob Hope,"Jul 26, 2025",4889,,,,,,,414,0:04:47,5.88,414,33.0446,2,,9439,2.21
M9JueqzzX4g,Lady is a Tramp - Josh Cirre,,198,,,,,,,14,0:02:00,61.11,14,0.4705,0,,0,
MAEiRkfXyTQ,Putting the LIVE in Laravel LIVEwire,"Aug 15, 2024",621,,,,,,,2694,0:03:32,34.26,2694,159.2283,21,3.698,34941,4.64
MGwgJeThQk4,Laravel is the Laravel for JS,"May 28, 2024",1788,,,,,,,15876,0:06:16,21.07,15876,1661.0463,285,38.172,187002,4.96
Mk82FdVVBvI,Introducing: Securequest,,194,,,,,,,3,0:00:09,4.85,3,0.0078,0,,0,
MmDOuG005Xs,Welcome to the Front Door Framework,"Aug 2, 2023",41,,,,,,,749,0:00:21,51.42,749,4.3867,8,0.88,2498,13.21
ND_L1xqsAjE,Welcome to VidKit // Getting Started,,96,,,,,,,11,0:00:33,34.97,11,0.1026,0,,0,
OcbRvk0_FMc,My First Livewire PR Got Merged...,"Jun 4, 2024",200,,,,,,,1344,0:01:43,51.98,1344,38.8123,10,2.755,18766,3.92
PKgYcLv_dKI,Livewire Makes Writing JavaScript EASY (v. 3.6 update),"Mar 7, 2025",1628,,,,,,,11339,0:06:16,23.14,11339,1186.2142,91,27.838,114356,6.18
QvaPZfjG9Y4,The Pros and Cons of Laravel Livewire,"Dec 6, 2024",1216,,,,,,,25808,0:05:02,24.84,25808,2165.4665,210,66.484,300943,5.3
RJ4FX-4lJ_o,Two underrated Livewire features you need to build modern applications,"Sep 3, 2024",393,,,,,,,5204,0:02:56,44.88,5204,254.9593,47,8.534,48366,6.19
RayRFEu5ntc,Setting Up MongoDB with Laravel Herd,"Mar 21, 2024",437,,,,,,,2023,0:01:53,25.94,2023,63.7016,6,3.531,17932,5.44
RfI7UpjYjgc,The Tools I Use to Build Products in Laravel,"Jun 5, 2024",1140,,,,,,,64441,0:04:55,25.9,64441,5284.5488,1774,154.204,1001844,3.9
RfyI_YVPcI0,This Solved My Authentication Redirect Problem,"Jan 10, 2025",370,,,,,,,3614,0:02:15,36.68,3614,136.2508,19,4.598,49651,4.26
Rp8FO09PNM8,I Built Theo's Pokemon App in Laravel,"Nov 22, 2024",661,,,,,,,6361,0:03:35,32.61,6361,380.9183,25,14.108,55120,6.76
S4CACnFQUxs,Change is a Good Thing,,4506,,,,,,,124,0:03:54,5.21,124,8.0739,-2,0.271,4123,1.46
TIAPnTWkKcw,Rick Rubin is a vibe coder,"May 24, 2025",583,,,,,,,2024,0:01:51,19.09,2024,62.5886,0,5.446,42157,2.21
TzQrQT0SV_w,Copy and Paste Should Be Banned When Learning to Code,"Jan 10, 2024",193,,,,,,,402,0:01:24,43.97,402,9.4761,5,,14749,1.91
UXgh4wb5w8U,It's HonoJS... but in PHP?,"Aug 26, 2024",576,,,,,,,8191,0:02:30,26.06,8191,341.5313,58,9.022,67049,7.29
UbQmzQN1CGM,My Three New Favorite things in Laravel,"Sep 19, 2024",640,,,,,,,3721,0:03:27,32.37,3721,214.1382,36,6.969,41790,4.85
UjtKPImwo4E,Landing Pages and Why You Should Care,"Aug 8, 2023",201,,,,,,,129,0:00:56,28.35,129,2.0417,0,0.035,7200,0.76
Ul3sfSDEt9U,"The Complete TALL Stack Tutorial - FROM NOTHING TO PROD (Tailwind, Alpine, Laravel, Livewire & More)","Dec 14, 2023",12998,,,,,,,100527,0:06:50,3.15,100527,11451.2268,2196,210.657,853340,6.54
UtisZmj6W4I,Farewell,,150,,,,,,,14,0:01:42,68.33,14,0.3986,0,0.001,0,
UzmjbW1EPD8,The Rough Draft,"Jun 7, 2025",4433,,,,,,,255,0:02:16,3.08,255,9.6621,-1,,8171,1.82
V32pbd6n3G0,What Makes You Beautiful - One Direction (Josh Cirre Cover),"Apr 17, 2012",178,,,,,,,242,0:01:08,38.51,242,2.7611,1,,124,10.48
VXL-6MkFRU0,Why developers love Laracon,"Jul 31, 2025",845,,,,,,,1635,0:03:49,27.14,1635,104.1431,7,3.455,26105,3.54
VhnJJPNRD1U,Learn Laravel as a JavaScript Developer,"May 14, 2024",570,,,,,,,1268,0:03:17,34.67,1268,69.6078,20,3.043,19523,3.09
W3HrYjKbA9I,Talk in specifics with your landing page.,"Aug 8, 2023",282,,,,,,,72,0:00:55,19.8,72,1.1169,1,0.009,8733,0.46
WNKrYLdiQA8,"Can you really write ""clean code""?","Aug 30, 2024",892,,,,,,,2348,0:03:01,20.39,2348,118.6252,20,3.35,36055,3.7
WP6LPE3Jebw,This New Auth Package Makes Things Even Easier,"Jun 20, 2024",491,,,,,,,14828,0:02:58,36.39,14828,735.8886,704,26.866,139888,6.66
WSp0eTQubxQ,PHP Isn't Just for the Browser Anymore,,5005,,,,,,,294,0:05:15,6.32,294,25.7901,-1,,5125,2.69
WYlPdHbPzdQ,Strap in w/ Strapi - Why a CMS in 2022?,,75,,,,,,,15,0:00:52,70.58,15,0.2206,0,,0,
WZS12h2m0uI,What Full-Text Search Looks Like in Laravel,"Apr 25, 2025",1819,,,,,,,1553,0:05:22,17.76,1553,139.328,3,4.467,17900,4.46
W_OSbAQiiiU,This was a long time coming.,"Feb 9, 2024",256,,,,,,,497,0:01:25,33.59,497,11.8715,16,0.321,12652,2.69
XHiFWOLt6xw,Building the Door Frame of your Landing Page,"Aug 8, 2023",95,,,,,,,89,0:00:35,37.57,89,0.8823,0,0.09,6207,0.79
XLqEfQcog84,Laravel is a SPA framework,"Nov 30, 2023",343,,,,,,,2814,0:02:07,37.18,2814,99.6922,58,,53862,3.93
ZBDPoMW4Wrg,The best Laravel project ideas for beginners,"Sep 11, 2024",482,,,,,,,8228,0:02:26,30.37,8228,334.5782,132,17.942,96533,5.19
ZOwT_B03mrA,How I use AI as a developer,"Jul 12, 2025",2026,,,,,,,4280,0:06:43,19.89,4280,479.1817,33,14.525,38096,5.53
ZSnaeTbuYj4,My 2025 Tech Stack,"Jun 2, 2025",650,,,,,,,3907,0:03:09,29.08,3907,205.1471,13,13.558,40399,6.02
ZYWT-xRFQhg,Things Are Looking Up,"Jun 28, 2025",4529,,,,,,,234,0:02:37,3.49,234,10.2679,-2,,6258,2.11
Zc26BDB5X_4,How to make better technical decisions,"Sep 6, 2024",501,,,,,,,1162,0:02:21,28.16,1162,45.5386,4,2.181,20925,3.54
_B4iGUKdLhk,Goodbye imposter syndrome.,"May 23, 2024",101,,,,,,,706,0:01:01,61.09,706,12.1005,3,,13257,3.26
_gp-pl3r1h8,Give your users a voice.,"Aug 8, 2023",337,,,,,,,40,0:01:33,27.7,40,1.0371,0,0.01,7796,0.36
_rHPWxkH5jg,Here's how to build ANYTHING extremely fast,"Sep 13, 2024",627,,,,,,,16382,0:02:43,26.1,16382,744.6277,236,39.321,174135,5.58
_wUnIlm_4eo,"Just ""Use the Browser"" with Laravel Livewire","Jun 27, 2024",139,,,,,,,2713,0:01:21,58.91,2713,61.7145,19,3.808,25496,6.06
a2PsaqQC4y8,Josh Cirre - PlanetScale Solutions Engineer,,121,,,,,,,7,0:00:08,7.19,7,0.0169,0,0,0,
aNmBfueBD6U,I stopped using composer run dev after one week,"Nov 8, 2024",860,,,,,,,6145,0:04:10,29.14,6145,427.7793,38,13.365,53019,6.09
aVhRgpGJgMc,How do you start a new project as a developer?,"Dec 9, 2024",655,,,,,,,3873,0:02:41,24.66,3873,173.7367,35,6.243,63715,3.19
aXy4gBvVWMY,The Missing Devtools for Laravel Livewire,"Oct 26, 2024",681,,,,,,,4828,0:03:12,28.31,4828,258.579,24,7.534,49498,5.58
apPzpS4UMsI,Keep Your Users Content in Check with this Laravel Package,"Apr 26, 2025",804,,,,,,,1683,0:03:14,24.22,1683,91.0245,0,4.221,21597,4.6
axPTJq-Yfd0,Making VS Code Beautiful AGAIN (Alternative to APC Customize UI++),"Oct 12, 2024",461,,,,,,,14343,0:01:56,25.28,14343,464.2533,62,16.464,72216,8.59
bHXrWf-SMf0,Meet My InertiaKit Idea,,894,,,,,,,7,0:06:30,43.69,7,0.7594,0,,0,
bkoJyn8hg5k,Laravel Livewire Crash Course | Livewire 3 Tutorial for Beginners in 1.5 Hours,"Oct 15, 2024",5371,,,,,,,60557,0:10:13,11.43,60557,10323.8399,792,234.871,589772,5.25
brqYzlrzZEg,Building a Config Directory for Ghostty,"Dec 31, 2024",16147,,,,,,,2037,0:05:09,1.91,2037,174.9451,9,3.747,20043,4.77
cQ0EvjkLy9M,MBI Drama - The DIary of Anne Frank Promo,"Feb 27, 2014",101,,,,,,,90,0:00:51,50.55,90,1.2763,0,,297,1.35
cbnhwiXNlfc,"Your Phone Can Run Claude Code (seriously, from anywhere)","Jul 23, 2025",524,,,,,,,2161,0:02:35,29.62,2161,93.1576,22,10.789,18326,5.12
cd76cwZjgqo,Shadcn/ui but for Laravel,"Aug 8, 2024",953,,,,,,,20207,0:03:45,23.69,20207,1267.2098,252,38.079,184928,6.14
cf7TVcPOfrM,Do We Really Understand the Computer?,"Jul 2, 2024",756,,,,,,,512,0:02:36,20.66,512,22.2183,2,1.065,21872,1.24
cgvOJ6iELnw,Turso OFFICIALLY Supports Laravel Now?,"Jan 11, 2025",1047,,,,,,,5500,0:03:15,18.64,5500,298.1002,30,7.099,63928,5.22
dffVVL3Ukz8,The Future Resend Customer Support Engineer,,140,,,,,,,11,0:01:09,49.84,11,0.2132,0,0.001,0,
dxM6etLn4FE,I'm reading the entire Laravel documentation,"May 27, 2024",35604,,,,,,,2302,0:03:49,0.81,2302,146.9432,33,,20765,4.52
eDwBhdQAzf4,Walkthrough of Jiffy,,238,,,,,,,3,0:01:27,36.59,3,0.0726,0,,0,
egE7D5bQMVI,The Handle of Your Landing Page,"Aug 8, 2023",155,,,,,,,31,0:00:44,28.84,31,0.3849,0,0.01,6375,0.3
f1SV4qbpUEI,Highlighting Your Competitors on a Landing Page,"Aug 8, 2023",298,,,,,,,81,0:00:51,17.33,81,1.1617,1,0.017,7817,0.42
fUD_jusxGK8,Remixed Live Stream,,277,,,,,,,14,0:01:48,39.09,14,0.4211,0,,0,
g-ynSAdL6Ak,This tool cured my JavaScript fatigue,"Jul 21, 2025",1440,,,,,,,5314,0:03:47,15.83,5314,336.4403,29,8.468,46899,6.29
g6yIZzEDiEA,Should You Switch to Kiro?,"Jul 17, 2025",2166,,,,,,,3109,0:06:04,16.81,3109,314.4376,20,8.759,38686,5.02
gAzF4fVes9w,I build a TODO list app with Laravel in 17 minutes.,"May 16, 2024",1078,,,,,,,8843,0:04:41,26.15,8843,692.4478,137,24.238,110814,4.42
gKhPweUqAPg,Is AI Peak Creativity?,"Jul 12, 2024",724,,,,,,,594,0:02:48,23.24,594,27.7596,2,1.749,17446,1.92
gkeaIyTEaZU,Optimistic UI but in Laravel Livewire,"Apr 8, 2024",732,,,,,,,4783,0:03:47,31.13,4783,302.7573,79,9.647,52199,4.26
hQdHGRh60W8,I don't write code the way I used to,"Aug 23, 2024",532,,,,,,,1432,0:02:45,31.03,1432,65.668,12,1.566,26581,3.06
hQmQLcXQLiU,My Landing Page has Benefits... not Features,"Aug 8, 2023",353,,,,,,,58,0:01:54,32.3,58,1.8367,0,0.061,6544,0.5
hSvE0HE8EVY,How I made 100+ videos in one year (my process and tools),"Oct 10, 2024",1584,,,,,,,3286,0:04:45,18,3286,260.2593,46,12.166,40762,3.63
iMYZTj4kK68,Pretend To Be Your Users... Landing Page Experiment,"Aug 8, 2023",172,,,,,,,35,0:00:46,26.81,35,0.4484,0,0,7110,0.17
