Content,Video title,Video publish time,Duration,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Engaged views,Average view duration,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
q21nyfJFbKM,"New Studio, Laracon EU Updates, and more?","Feb 4, 2025",8568,,,,,,,1033,0:05:47,5.73,1033,99.7614,4,2.218,18063,3.5
q5Vw8PyqQy8,Writing JavaScript in PHP?!,"Jul 26, 2024",552,,,,,,,3107,0:03:30,38.05,3107,181.2965,26,7.959,33320,4.95
q8w8Bb-2kwM,Converting a NextJS App to Laravel Livewire,"Jun 26, 2024",2038,,,,,,,4293,0:06:29,19.13,4293,465.0276,48,8.357,42429,5.44
qkG2ybcmpZc,This is how you should write PHP,"Jul 7, 2025",1068,,,,,,,17768,0:03:51,21.69,17768,1143.495,221,39.882,151420,5.96
rjG_wk7jzAE,I should build a game in Laravel.,"Aug 2, 2024",6399,,,,,,,2544,0:06:03,5.67,2544,257.0894,30,5.176,20135,7.09
s-jEx98GB7s,3 Things Laravel Livewire Is NOT (But Everyone Thinks It Is),"Jul 14, 2025",1049,,,,,,,5139,0:04:58,28.43,5139,425.6745,31,9.211,60863,4.39
s4j7X__b9lk,Infinite Scroll in Laravel Livewire,"Sep 19, 2024",222,,,,,,,4479,0:01:43,46.45,4479,128.3082,40,8.898,36066,5.98
sy8jzWkxwJY,Make Your Livewire App Secure by Default,"Jul 8, 2024",589,,,,,,,3116,0:03:58,40.45,3116,206.2146,21,5.561,37221,4.94
tDCq0b77QAw,Why Gumroad Didn't Choose HTMX,"Oct 11, 2024",1187,,,,,,,4647,0:04:41,23.75,4647,363.9043,39,10.277,67831,3.76
tilmy2IeCzw,High Altitude 2017,,480,,,,,,,20,0:03:20,41.83,20,1.1154,0,,3,0
uD6kcBpXfjE,Why are bootcamps not teaching Laravel?,"Oct 4, 2024",691,,,,,,,5220,0:04:05,35.48,5220,355.528,44,9.305,78572,3.89
uQuaF-JQtBs,The Easiest Way to Write Good Code,"Aug 16, 2024",1343,,,,,,,1538,0:03:24,15.22,1538,87.3129,7,2.141,29098,2.97
uoqhrFRuRF4,My Minimal and Beautiful VSCode Setup,"Jul 2, 2024",655,,,,,,,146671,0:02:01,18.49,146671,4933.15,693,167.957,937880,8.19
v2eMSC7eegQ,"Aim Small, Miss Small","Jun 14, 2025",4242,,,,,,,286,0:04:02,5.73,286,19.2992,1,,8713,1.77
vmAOPq0K7Cs,Let Me Be Frankie with You // STORY,"Sep 24, 2016",577,,,,,,,83,0:02:52,29.96,83,3.9862,2,,139,6.47
xB8wIhYvHXk,Understanding the WHY of Your Landing Page,"Aug 2, 2023",147,,,,,,,406,0:00:54,37,406,6.1336,3,0.132,4913,4.84
xCnU9Y5CpGs,"You should stop practicing ""Best Practices""","Jul 19, 2024",2512,,,,,,,392,0:05:27,13.05,392,35.6999,1,1.003,14889,1.28
xKW4h0cstn0,So long Landing Page friends.,"Aug 8, 2023",309,,,,,,,176,0:00:47,15.33,176,2.3154,0,0.121,9054,1.46
xbsLdjzE9Xk,Fearliss vs. Symbols (TAO Dropless Grey),"Jun 18, 2014",445,,,,,,,23,0:02:31,35.52,23,0.966,0,,354,1.69
yDZsrIUCr68,Is Convex Chef really THAT good?,"Jun 4, 2025",902,,,,,,,2047,0:03:23,22.55,2047,115.6761,7,5.139,24164,5.1
yb7-wWlNH_I,Laravel and Redis: The Absolute Basics,"May 21, 2024",599,,,,,,,12766,0:03:24,34.11,12766,724.4372,115,24.302,105432,8
